SOC[-] Voltage[V]
4.646610729948073559e-01 1.165589494408095575e-02
4.656610729948073568e-01 1.162022336132759008e-02
4.666610729948073577e-01 1.157364654049751994e-02
4.676610729948073586e-01 1.152874386195117118e-02
4.686610729948073595e-01 1.179193284843813722e-02
4.696610729948073604e-01 1.175005154796781442e-02
4.706610729948073613e-01 1.177181562019450137e-02
4.716610729948073621e-01 1.174127215725138777e-02
4.726610729948073630e-01 1.175402386979385559e-02
4.736610729948073639e-01 1.181012073174315426e-02
4.746610729948073648e-01 1.176469660468319571e-02
4.756610729948073657e-01 1.202354555429701634e-02
4.766610729948073666e-01 1.197869985123133953e-02
4.776610729948073675e-01 1.193048167106826492e-02
4.786610729948073684e-01 1.187223022166654200e-02
4.796610729948073693e-01 1.182146438350537183e-02
4.806610729948073701e-01 1.208804311351377621e-02
4.816610729948073710e-01 1.203758195925820444e-02
4.826610729948073719e-01 1.198702633887387473e-02
4.836610729948073728e-01 1.193576239083631724e-02
4.846610729948073182e-01 1.187823151612883536e-02
4.856610729948073191e-01 1.214533389051393811e-02
4.866610729948073200e-01 1.210037539700397312e-02
4.876610729948073208e-01 1.209914711359988404e-02
4.886610729948073217e-01 1.204285567599208684e-02
4.896610729948073226e-01 1.200269817020944117e-02
4.906610729948073235e-01 1.229254970195688655e-02
4.916610729948073244e-01 1.225267618515863376e-02
4.926610729948073253e-01 1.222418537738713049e-02
4.936610729948073262e-01 1.218307145426479089e-02
4.946610729948073271e-01 1.247236397092456144e-02
4.956610729948073280e-01 1.239943905908785435e-02
4.966610729948073288e-01 1.230363805398337722e-02
4.976610729948073297e-01 1.224736265261708486e-02
4.986610729948073306e-01 1.249974008044864651e-02
4.996610729948073315e-01 1.242178348713241648e-02
5.006610729948073324e-01 1.240628298948786255e-02
5.016610729948073333e-01 1.237197699396483559e-02
5.026610729948073342e-01 1.259970198876862908e-02
5.036610729948073351e-01 1.258977625387024124e-02
5.046610729948073359e-01 1.248170553382078711e-02
5.056610729948073368e-01 1.244905582575484004e-02
5.066610729948073377e-01 1.270297190423116257e-02
5.076610729948073386e-01 1.261604829232692258e-02
5.086610729948073395e-01 1.255462195080735838e-02
5.096610729948073404e-01 1.284817192788386894e-02
5.106610729948073413e-01 1.277773578096048392e-02
5.116610729948073422e-01 1.268232771595876295e-02
5.126610729948073431e-01 1.260549031277560100e-02
5.136610729948073439e-01 1.284711005564076990e-02
5.146610729948073448e-01 1.278609265300565366e-02
5.156610729948073457e-01 1.270324693352813464e-02
5.166610729948073466e-01 1.292569712001568477e-02
5.176610729948073475e-01 1.287457818572147576e-02
5.186610729948073484e-01 1.277975853873840675e-02
5.196610729948073493e-01 1.276233297680028078e-02
5.206610729948073502e-01 1.295383909814881891e-02
5.216610729948073510e-01 1.287012719302538244e-02
5.226610729948073519e-01 1.281715821609213934e-02
5.236610729948073528e-01 1.305885102941556353e-02
5.246610729948073537e-01 1.300006145357974693e-02
